[diag] 6 FPS | 168.8 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 160.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 155.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 155.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 170.6 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 161.3 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 161.1 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 161.3 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 160.7 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 161.5 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 165.3 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.7 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.3 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.9 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 160.3 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 159.6 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 161.6 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 165.7 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 161.0 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 160.6 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 186.4 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 165.5 ms/frame | 99 draws | 10 entities
[diag] 6 FPS | 163.1 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 202.9 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 203.0 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.6 ms/frame | 99 draws | 10 entities
